model,checkpoint,condition,person_ap,person_ap50,person_ap75,person_ar100,person_recall_iou50_conf025,person_recall_iou75_conf025,precision_iou50_conf025,f1_iou50_conf025,mean_matched_iou,mean_gt_iou_with_misses,fp_per_image_conf025,failure_rate
pretrained_yolo11n,pretrained,clean,0.5326423989499799,0.7714961076896895,0.5685346351199353,0.6464043796975039,0.6563976735732461,0.539076699382043,0.7711936792654281,0.7091801669121256,0.8491755723953247,0.5602323412895203,0.4327544426494346,
pretrained_yolo11n,pretrained,seen,0.520748045471619,0.7579645110818273,0.5537271031577963,0.6389162104481766,0.641312250090876,0.5260814249363868,0.7666485605649104,0.6984017022118858,0.8483436703681946,0.5471590757369995,0.43376413570274636,0.03239651114495362
pretrained_yolo11n,pretrained,unseen,0.5199623923442276,0.7576018908329587,0.5524869962625288,0.6390275586898024,0.6424936386768448,0.5249909123954926,0.7681442850934377,0.6997228820269201,0.8474187254905701,0.5473555326461792,0.43093699515347333,0.03184272462965527
conventional_adv,best_clean_map,clean,0.48974697302819153,0.7381531803326058,0.5145969903579608,0.621508768674028,0.6745728825881497,0.5253544165757906,0.684273598820059,0.6793886143144793,0.8319393992424011,0.5644859671592712,0.6916397415185783,
conventional_adv,best_clean_map,seen,0.4965450054086646,0.72052156434718,0.5271876462480035,0.6319476663264358,0.6893856779352963,0.5498000727008361,0.6332748977377076,0.6601401035548013,0.8395942449569702,0.5820793509483337,0.8871163166397416,0.01589653778795635
conventional_adv,best_clean_map,unseen,0.4935000851892838,0.7350430902132046,0.5202742855634074,0.6226315301104204,0.6796619411123228,0.5331697564521992,0.6722696629213483,0.6759455917574224,0.8339709043502808,0.5703371167182922,0.7362681744749596,0.019803314023979522
conventional_adv,best_seen_map,clean,0.49036594221606394,0.7391275016383112,0.5151937209303631,0.6223438804862206,0.6756633951290439,0.5261723009814613,0.684244432173753,0.6799268404206675,0.8318822979927063,0.5653754472732544,0.6928513731825525,
conventional_adv,best_seen_map,seen,0.4964172522508732,0.7201906884994849,0.5270749736399383,0.6317064118029136,0.6891130498000727,0.549618320610687,0.633183032732131,0.6599651871192341,0.8396711349487305,0.5818825364112854,0.8871163166397416,0.01694687289845326
conventional_adv,best_seen_map,unseen,0.49482012173187984,0.7372267085309419,0.5217450174859913,0.6247935418019858,0.6821155943293348,0.5349872773536896,0.6722192369693714,0.6771312584573749,0.8338592052459717,0.5723277926445007,0.7390953150242326,0.017753866845998657
proposed_v1,best_clean_map,clean,0.48611396658102035,0.7381329601484526,0.5075598988620244,0.6146608518140484,0.6655761541257724,0.5156306797528172,0.710447182073916,0.6872800638108196,0.8320782780647278,0.5565111637115479,0.6027867528271406,
proposed_v1,best_clean_map,seen,0.49831843825266214,0.729204802457847,0.5274530599045906,0.626853484272061,0.6858415121773901,0.5450745183569611,0.6665194736377286,0.6760424598020335,0.8390247225761414,0.5780938863754272,0.7625201938610663,0.015701802293828507
proposed_v1,best_clean_map,unseen,0.48698849119021526,0.7345821281716871,0.5113452120177227,0.6140762735455135,0.670937840785169,0.52453653217012,0.6951977401129944,0.6828523862375139,0.8324354290962219,0.5616500973701477,0.653675282714055,0.0204806116876024
proposed_v1,best_seen_map,clean,0.4854040985471888,0.7372578643392557,0.5068580053210868,0.613770065881043,0.6647582697201018,0.514903671392221,0.7103321033210332,0.6867899727725096,0.8320268988609314,0.5557965040206909,0.6023828756058158,
