model_checkpoint,attack_condition,metric,clean_minus_attack
pretrained_yolo11n:pretrained,seen,person_ap,0.011894353478360875
pretrained_yolo11n:pretrained,seen,person_ap50,0.013531596607862184
pretrained_yolo11n:pretrained,seen,person_ap75,0.01480753196213902
pretrained_yolo11n:pretrained,seen,person_recall_iou50_conf025,0.015085423482370075
pretrained_yolo11n:pretrained,seen,person_recall_iou75_conf025,0.01299527444565618
pretrained_yolo11n:pretrained,seen,precision_iou50_conf025,0.0045451187005177696
pretrained_yolo11n:pretrained,seen,f1_iou50_conf025,0.010778464700239798
pretrained_yolo11n:pretrained,seen,mean_gt_iou_with_misses,0.013073265552520752
pretrained_yolo11n:pretrained,unseen,person_ap,0.012680006605752303
pretrained_yolo11n:pretrained,unseen,person_ap50,0.013894216856730757
pretrained_yolo11n:pretrained,unseen,person_ap75,0.016047638857406454
pretrained_yolo11n:pretrained,unseen,person_recall_iou50_conf025,0.01390403489640124
pretrained_yolo11n:pretrained,unseen,person_recall_iou75_conf025,0.014085786986550386
pretrained_yolo11n:pretrained,unseen,precision_iou50_conf025,0.0030493941719904605
pretrained_yolo11n:pretrained,unseen,f1_iou50_conf025,0.009457284885205475
pretrained_yolo11n:pretrained,unseen,mean_gt_iou_with_misses,0.012876808643341064
conventional_adv:best_clean_map,seen,person_ap,-0.006798032380473051
conventional_adv:best_clean_map,seen,person_ap50,0.01763161598542584
conventional_adv:best_clean_map,seen,person_ap75,-0.012590655890042712
conventional_adv:best_clean_map,seen,person_recall_iou50_conf025,-0.014812795347146523
conventional_adv:best_clean_map,seen,person_recall_iou75_conf025,-0.024445656125045456
conventional_adv:best_clean_map,seen,precision_iou50_conf025,0.05099870108235138
conventional_adv:best_clean_map,seen,f1_iou50_conf025,0.019248510759677928
conventional_adv:best_clean_map,seen,mean_gt_iou_with_misses,-0.0175933837890625
conventional_adv:best_clean_map,unseen,person_ap,-0.0037531121610922535
conventional_adv:best_clean_map,unseen,person_ap50,0.003110090119401221
conventional_adv:best_clean_map,unseen,person_ap75,-0.005677295205446575
conventional_adv:best_clean_map,unseen,person_recall_iou50_conf025,-0.0050890585241730735
conventional_adv:best_clean_map,unseen,person_recall_iou75_conf025,-0.007815339876408589
conventional_adv:best_clean_map,unseen,precision_iou50_conf025,0.012003935898710738
conventional_adv:best_clean_map,unseen,f1_iou50_conf025,0.003443022557056863
conventional_adv:best_clean_map,unseen,mean_gt_iou_with_misses,-0.005851149559020996
conventional_adv:best_seen_map,seen,person_ap,-0.006051310034809243
conventional_adv:best_seen_map,seen,person_ap50,0.018936813138826336
conventional_adv:best_seen_map,seen,person_ap75,-0.011881252709575185
conventional_adv:best_seen_map,seen,person_recall_iou50_conf025,-0.013449654671028766
conventional_adv:best_seen_map,seen,person_recall_iou75_conf025,-0.023446019629225767
conventional_adv:best_seen_map,seen,precision_iou50_conf025,0.051061399441622024
conventional_adv:best_seen_map,seen,f1_iou50_conf025,0.019961653301433402
conventional_adv:best_seen_map,seen,mean_gt_iou_with_misses,-0.016507089138031006
conventional_adv:best_seen_map,unseen,person_ap,-0.0044541795158158926
conventional_adv:best_seen_map,unseen,person_ap50,0.0019007931073693474
conventional_adv:best_seen_map,unseen,person_ap75,-0.00655129655562825
conventional_adv:best_seen_map,unseen,person_recall_iou50_conf025,-0.006452199200290831
conventional_adv:best_seen_map,unseen,person_recall_iou75_conf025,-0.008814976372228278
conventional_adv:best_seen_map,unseen,precision_iou50_conf025,0.012025195204381611
conventional_adv:best_seen_map,unseen,f1_iou50_conf025,0.0027955819632926593
conventional_adv:best_seen_map,unseen,mean_gt_iou_with_misses,-0.006952345371246338
proposed_v1:best_clean_map,seen,person_ap,-0.012204471671641792
proposed_v1:best_clean_map,seen,person_ap50,0.00892815769060562
proposed_v1:best_clean_map,seen,person_ap75,-0.01989316104256622
proposed_v1:best_clean_map,seen,person_recall_iou50_conf025,-0.020265358051617666
proposed_v1:best_clean_map,seen,person_recall_iou75_conf025,-0.0294438386041439
proposed_v1:best_clean_map,seen,precision_iou50_conf025,0.04392770843618743
proposed_v1:best_clean_map,seen,f1_iou50_conf025,0.01123760400878615
proposed_v1:best_clean_map,seen,mean_gt_iou_with_misses,-0.021582722663879395
proposed_v1:best_clean_map,unseen,person_ap,-0.0008745246091949044
proposed_v1:best_clean_map,unseen,person_ap50,0.003550831976765534
proposed_v1:best_clean_map,unseen,person_ap75,-0.0037853131556983
proposed_v1:best_clean_map,unseen,person_recall_iou50_conf025,-0.005361686659396625
proposed_v1:best_clean_map,unseen,person_recall_iou75_conf025,-0.008905852417302795
proposed_v1:best_clean_map,unseen,precision_iou50_conf025,0.015249441960921595
proposed_v1:best_clean_map,unseen,f1_iou50_conf025,0.004427677573305755
proposed_v1:best_clean_map,unseen,mean_gt_iou_with_misses,-0.0051389336585998535
proposed_v1:best_seen_map,seen,person_ap,-0.01281805084483717
proposed_v1:best_seen_map,seen,person_ap50,0.00816055831361362
proposed_v1:best_seen_map,seen,person_ap75,-0.02048921301572748
proposed_v1:best_seen_map,seen,person_recall_iou50_conf025,-0.020992366412213803
proposed_v1:best_seen_map,seen,person_recall_iou75_conf025,-0.030079970919665522
proposed_v1:best_seen_map,seen,precision_iou50_conf025,0.04384208388983735
