condition,metric,left,right,difference_right_minus_left
clean,person_ap,0.49036594221606394,0.5253079996950324,0.03494205747896845
clean,person_recall_iou50_conf025,0.6756633951290439,0.6657579062159215,-0.009905488913122484
clean,person_recall_iou75_conf025,0.5261723009814613,0.5385314431115957,0.012359142130134448
clean,precision_iou50_conf025,0.684244432173753,0.7472460220318238,0.0630015898580708
clean,f1_iou50_conf025,0.6799268404206675,0.7041522491349481,0.024225408714280583
clean,mean_gt_iou_with_misses,0.5653754472732544,0.5650414824485779,-0.00033396482467651367
clean,failure_rate,,,
seen,person_ap,0.4964172522508732,0.5119664747815036,0.015549222530630402
seen,person_recall_iou50_conf025,0.6891130498000727,0.655852417302799,-0.033260632497273734
seen,person_recall_iou75_conf025,0.549618320610687,0.5308978553253363,-0.018720465285350762
seen,precision_iou50_conf025,0.633183032732131,0.7099852434825381,0.07680221075040716
seen,f1_iou50_conf025,0.6599651871192341,0.6818460957059851,0.021880908586750958
seen,mean_gt_iou_with_misses,0.5818825364112854,0.5572062730789185,-0.024676263332366943
seen,failure_rate,0.01694687289845326,0.02962052962052962,0.012673656722076359
unseen,person_ap,0.49482012173187984,0.5145849290832049,0.01976480735132502
unseen,person_recall_iou50_conf025,0.6821155943293348,0.6590330788804071,-0.0230825154489277
unseen,person_recall_iou75_conf025,0.5349872773536896,0.5338967648127954,-0.0010905125408942062
unseen,precision_iou50_conf025,0.6722192369693714,0.7140606538007089,0.041841416831337575
unseen,f1_iou50_conf025,0.6771312584573749,0.6854442344045368,0.00831297594716196
unseen,mean_gt_iou_with_misses,0.5723277926445007,0.5600442290306091,-0.012283563613891602
unseen,failure_rate,0.017753866845998657,0.028665028665028666,0.01091116181903001
