model,checkpoint,condition,person_ap,person_ap50,person_ap75,person_ar100,person_recall_iou50_conf025,person_recall_iou75_conf025,precision_iou50_conf025,f1_iou50_conf025,mean_matched_iou,mean_gt_iou_with_misses,fp_per_image_conf025,failure_rate
pretrained_yolo11n,pretrained,clean,0.5326423989499799,0.7714961076896895,0.5685346351199353,0.6464043796975039,0.6563976735732461,0.539076699382043,0.7711936792654281,0.7091801669121256,0.8491755723953247,0.5602323412895203,0.4327544426494346,
pretrained_yolo11n,pretrained,seen,0.520748045471619,0.7579645110818273,0.5537271031577963,0.6389162104481766,0.641312250090876,0.5260814249363868,0.7666485605649104,0.6984017022118858,0.8483436703681946,0.5471590757369995,0.43376413570274636,0.03239651114495362
pretrained_yolo11n,pretrained,unseen,0.5199623923442276,0.7576018908329587,0.5524869962625288,0.6390275586898024,0.6424936386768448,0.5249909123954926,0.7681442850934377,0.6997228820269201,0.8474187254905701,0.5473555326461792,0.43093699515347333,0.03184272462965527
conventional_adv,best_seen_map,clean,0.49036594221606394,0.7391275016383112,0.5151937209303631,0.6223438804862206,0.6756633951290439,0.5261723009814613,0.684244432173753,0.6799268404206675,0.8318822979927063,0.5653754472732544,0.6928513731825525,
conventional_adv,best_seen_map,seen,0.4964172522508732,0.7201906884994849,0.5270749736399383,0.6317064118029136,0.6891130498000727,0.549618320610687,0.633183032732131,0.6599651871192341,0.8396711349487305,0.5818825364112854,0.8871163166397416,0.01694687289845326
conventional_adv,best_seen_map,unseen,0.49482012173187984,0.7372267085309419,0.5217450174859913,0.6247935418019858,0.6821155943293348,0.5349872773536896,0.6722192369693714,0.6771312584573749,0.8338592052459717,0.5723277926445007,0.7390953150242326,0.017753866845998657
proposed_v1,best_seen_map,clean,0.4854040985471888,0.7372578643392557,0.5068580053210868,0.613770065881043,0.6647582697201018,0.514903671392221,0.7103321033210332,0.6867899727725096,0.8320268988609314,0.5557965040206909,0.6023828756058158,
proposed_v1,best_seen_map,seen,0.49822214939202597,0.729097306025642,0.5273472183368143,0.6267699730908416,0.6857506361323156,0.5449836423118866,0.6664900194311959,0.6759831586491086,0.8390113711357117,0.5780084133148193,0.7625201938610663,0.01572112098427888
proposed_v1,best_seen_map,unseen,0.4871449547713653,0.7354340525738409,0.511434129492932,0.6141597847267329,0.6710287168302436,0.5246274082151945,0.6952264381884945,0.6829132947976879,0.8324500918388367,0.5617355704307556,0.653675282714055,0.020369104579630894
proposed_v2,best_seen_map,clean,0.5253079996950324,0.7668815769249941,0.5607143562257053,0.6413287556833998,0.6657579062159215,0.5385314431115957,0.7472460220318238,0.7041522491349481,0.8442114591598511,0.5650414824485779,0.5004038772213247,
proposed_v2,best_seen_map,seen,0.5119664747815036,0.7457001866468999,0.5453211175385277,0.6358170177229285,0.655852417302799,0.5308978553253363,0.7099852434825381,0.6818460957059851,0.8444772362709045,0.5572062730789185,0.5953150242326333,0.02962052962052962
proposed_v2,best_seen_map,unseen,0.5145849290832049,0.7490693670941857,0.5485120302776357,0.6362438526491603,0.6590330788804071,0.5338967648127954,0.7140606538007089,0.6854442344045368,0.8449589014053345,0.5600442290306091,0.5864297253634895,0.028665028665028666
