condition,metric,left,right,difference_right_minus_left
clean,person_ap,0.4854040985471888,0.5253079996950324,0.03990390114784359
clean,person_recall_iou50_conf025,0.6647582697201018,0.6657579062159215,0.000999636495819689
clean,person_recall_iou75_conf025,0.514903671392221,0.5385314431115957,0.02362777171937469
clean,precision_iou50_conf025,0.7103321033210332,0.7472460220318238,0.03691391871079053
clean,f1_iou50_conf025,0.6867899727725096,0.7041522491349481,0.017362276362438478
clean,mean_gt_iou_with_misses,0.5557965040206909,0.5650414824485779,0.009244978427886963
clean,failure_rate,,,
seen,person_ap,0.49822214939202597,0.5119664747815036,0.013744325389477619
seen,person_recall_iou50_conf025,0.6857506361323156,0.655852417302799,-0.0298982188295166
seen,person_recall_iou75_conf025,0.5449836423118866,0.5308978553253363,-0.014085786986550275
seen,precision_iou50_conf025,0.6664900194311959,0.7099852434825381,0.04349522405134221
seen,f1_iou50_conf025,0.6759831586491086,0.6818460957059851,0.0058629370568764605
seen,mean_gt_iou_with_misses,0.5780084133148193,0.5572062730789185,-0.02080214023590088
seen,failure_rate,0.01572112098427888,0.02962052962052962,0.013899408636250742
unseen,person_ap,0.4871449547713653,0.5145849290832049,0.027439974311839532
unseen,person_recall_iou50_conf025,0.6710287168302436,0.6590330788804071,-0.01199563794983649
unseen,person_recall_iou75_conf025,0.5246274082151945,0.5338967648127954,0.009269356597600864
unseen,precision_iou50_conf025,0.6952264381884945,0.7140606538007089,0.018834215612214433
unseen,f1_iou50_conf025,0.6829132947976879,0.6854442344045368,0.0025309396068489143
unseen,mean_gt_iou_with_misses,0.5617355704307556,0.5600442290306091,-0.0016913414001464844
unseen,failure_rate,0.020369104579630894,0.028665028665028666,0.008295924085397772
