checkpoint,condition,metric,v3,adv_unseen_reference
best_clean_map,clean,person_ap,0.5239078096550726,
best_clean_map,clean,person_recall_iou50_conf025,0.6712104689203926,
best_clean_map,clean,person_recall_iou75_conf025,0.542257360959651,
best_clean_map,clean,precision_iou50_conf025,0.7359505779194898,
best_clean_map,clean,f1_iou50_conf025,0.7020912547528517,
best_clean_map,clean,mean_gt_iou_with_misses,0.5691113471984863,
best_clean_map,clean,failure_rate,,
best_clean_map,seen,person_ap,0.5288400304970975,
best_clean_map,seen,person_recall_iou50_conf025,0.6778444202108325,
best_clean_map,seen,person_recall_iou75_conf025,0.5509814612868048,
best_clean_map,seen,precision_iou50_conf025,0.7137116065448282,
best_clean_map,seen,f1_iou50_conf025,0.6953157772081099,
best_clean_map,seen,mean_gt_iou_with_misses,0.5768371820449829,
best_clean_map,seen,failure_rate,0.017600866504197128,
best_clean_map,unseen,person_ap,0.534884815368552,0.49482012173187984
best_clean_map,unseen,person_recall_iou50_conf025,0.6837513631406761,0.6821155943293348
best_clean_map,unseen,person_recall_iou75_conf025,0.5600690657942566,0.5349872773536896
best_clean_map,unseen,precision_iou50_conf025,0.7136488665465237,0.6722192369693714
best_clean_map,unseen,f1_iou50_conf025,0.6983802849584629,0.6771312584573749
best_clean_map,unseen,mean_gt_iou_with_misses,0.5831958055496216,0.5723277926445007
best_clean_map,unseen,failure_rate,0.017465475223395612,0.017753866845998657
best_seen_map,clean,person_ap,0.5230799460125458,
best_seen_map,clean,person_recall_iou50_conf025,0.6703017084696474,
best_seen_map,clean,person_recall_iou75_conf025,0.5415303525990549,
best_seen_map,clean,precision_iou50_conf025,0.7359074129502146,
best_seen_map,clean,f1_iou50_conf025,0.7015741665477719,
best_seen_map,clean,mean_gt_iou_with_misses,0.5683485865592957,
best_seen_map,clean,failure_rate,,
best_seen_map,seen,person_ap,0.52851909793674,
best_seen_map,seen,person_recall_iou50_conf025,0.6775717920756089,
best_seen_map,seen,person_recall_iou75_conf025,0.5507088331515813,
best_seen_map,seen,precision_iou50_conf025,0.7138343705122068,
best_seen_map,seen,f1_iou50_conf025,0.6952305468786424,
best_seen_map,seen,mean_gt_iou_with_misses,0.5765979886054993,
best_seen_map,seen,failure_rate,0.01762472885032538,
best_seen_map,unseen,person_ap,0.5343488639680544,0.49482012173187984
best_seen_map,unseen,person_recall_iou50_conf025,0.683387858960378,0.6821155943293348
best_seen_map,unseen,person_recall_iou75_conf025,0.5597055616139586,0.5349872773536896
best_seen_map,unseen,precision_iou50_conf025,0.7136756192464648,0.6722192369693714
best_seen_map,unseen,f1_iou50_conf025,0.6982034260247899,0.6771312584573749
best_seen_map,unseen,mean_gt_iou_with_misses,0.5828847885131836,0.5723277926445007
best_seen_map,unseen,failure_rate,0.01762472885032538,0.017753866845998657
