file,condition,image_id,gt_count,matching_gt_indices
shape_helps_001.jpg,clean,5037,7,2;3
shape_helps_002.jpg,clean,12670,14,1;13
shape_helps_003.jpg,clean,39914,10,6;7
shape_helps_004.jpg,clean,57597,14,5;10
shape_helps_005.jpg,clean,77460,14,7;13
shape_helps_006.jpg,seen,153669,14,9;11;13
shape_helps_007.jpg,seen,5037,7,2;3
shape_helps_008.jpg,seen,12670,14,1;13
shape_helps_009.jpg,seen,39914,10,6;7
shape_helps_010.jpg,seen,77460,14,7;13
shape_helps_011.jpg,unseen,5037,7,2;3
shape_helps_012.jpg,unseen,6471,10,4;8
shape_helps_013.jpg,unseen,12670,14,1;13
shape_helps_014.jpg,unseen,35682,4,1;3
shape_helps_015.jpg,unseen,39914,10,6;7
shape_helps_016.jpg,unseen,65798,14,6;13
shape_helps_017.jpg,unseen,77460,14,7;13
shape_helps_018.jpg,unseen,79969,14,12;13
shape_helps_019.jpg,unseen,100723,14,12;13
shape_helps_020.jpg,unseen,125572,14,1;2
