file,condition,image_id,gt_count,matching_gt_indices
shape_hurts_001.jpg,clean,209757,7,0;2;3;4;6
shape_hurts_002.jpg,clean,437239,4,0;1;2;3
shape_hurts_003.jpg,clean,36494,14,3;10
shape_hurts_004.jpg,clean,53624,5,1;3
shape_hurts_005.jpg,clean,125572,14,9;12
shape_hurts_006.jpg,seen,303818,12,0;1;2;4;5;7;9;10;11
shape_hurts_007.jpg,seen,209757,7,0;2;3;4;6
shape_hurts_008.jpg,seen,183437,4,0;1;2;3
shape_hurts_009.jpg,seen,107226,10,2;5
shape_hurts_010.jpg,seen,125572,14,9;12
shape_hurts_011.jpg,unseen,183437,4,0;1;2;3
shape_hurts_012.jpg,unseen,379332,3,0;1;2
shape_hurts_013.jpg,unseen,53624,5,1;3
shape_hurts_014.jpg,unseen,107226,10,2;5
shape_hurts_015.jpg,unseen,125572,14,9;12
shape_hurts_016.jpg,unseen,142472,6,0;1
shape_hurts_017.jpg,unseen,142585,2,0;1
shape_hurts_018.jpg,unseen,147729,9,1;7
shape_hurts_019.jpg,unseen,189475,11,5;10
shape_hurts_020.jpg,unseen,334555,13,6;9
